Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
OoooH,CID,48,0.689,0.972,126.001,0.0467,202017,"['Bass House', 'Deep Groove House', 'Dutch House', 'EDM', 'Electro House', 'House', 'Pop Dance', 'Pop EDM', 'Progressive Electro House', 'Progressive House', 'Tech House', 'UK Dance']",51,4FCzCS0KEgb0rgySWINItO,72Z64iIx0MC78T7FJ8L0IR,https://i.scdn.co/image/ab6761610000f178d89d6344ed634e67e4ac036e
Takes a Little Something,Chelina Manuhutu,23,0.803,0.936,125.005,0.0613,405120,['Dutch Tech House'],24,4IoT1ZwtqNYn1u7q9r62Sy,2jfhEiEUYJ4flikEHH1Ycd,https://i.scdn.co/image/ab6761610000f1786f16c36e70edf5679fea8bf2
You're so Fine,Chelina Manuhutu,20,0.772,0.894,126.033,0.0636,403809,['Dutch Tech House'],24,4IoT1ZwtqNYn1u7q9r62Sy,4NuOFXZggty2cBcqWmTgNs,https://i.scdn.co/image/ab6761610000f1786f16c36e70edf5679fea8bf2
All On You,Chelina Manuhutu,21,0.739,0.885,124.984,0.0502,184576,['Dutch Tech House'],24,4IoT1ZwtqNYn1u7q9r62Sy,6ZLKFBN9bkHcVF59kzmEyb,https://i.scdn.co/image/ab6761610000f1786f16c36e70edf5679fea8bf2
Midtown Playground,Chris Stussy,53,0.795,0.885,130.012,0.0466,222475,['Dutch Tech House'],46,3BxjasMelf9pKaE4f7Y0So,22fEl4nzfgTqKi7ZYNXW3c,https://i.scdn.co/image/ab6761610000f178b243c4bd54b13da599f433c6
Seeing & Believing - Kolter Remix,Chris Stussy,50,0.776,0.724,128.008,0.0442,211884,['Dutch Tech House'],46,3BxjasMelf9pKaE4f7Y0So,5ofPzkJ57L6IWXPmnb4f0C,https://i.scdn.co/image/ab6761610000f178b243c4bd54b13da599f433c6
Evening Drive,Chris Stussy,42,0.803,0.801,128.007,0.0633,421853,['Dutch Tech House'],46,3BxjasMelf9pKaE4f7Y0So,1gSArrE11Keig6Eu1YeWmB,https://i.scdn.co/image/ab6761610000f178b243c4bd54b13da599f433c6
All Night Long,Chris Stussy,62,0.791,0.704,133.006,0.0461,234525,['Dutch Tech House'],46,3BxjasMelf9pKaE4f7Y0So,7b4twDZXjQf8gyQGSvySZd,https://i.scdn.co/image/ab6761610000f178b243c4bd54b13da599f433c6
Breather,Chris Stussy,45,0.756,0.921,125.01,0.0701,465322,['Dutch Tech House'],46,3BxjasMelf9pKaE4f7Y0So,1e20Z4j3nuQP35vFtyF1JU,https://i.scdn.co/image/ab6761610000f178b243c4bd54b13da599f433c6
Love Tonight (David Guetta Remix Edit),David Guetta,80,0.621,0.989,126.002,0.0434,158095,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,2prnn41CblB8B4yWACDljP,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
When We Were Young (The Logical Song),David Guetta,85,0.657,0.914,139.989,0.0523,147432,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,1CcLA0eaauck34YEIrvAAq,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Remember (with David Guetta),David Guetta,73,0.626,0.864,123.833,0.0378,161386,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,6feiJqgHqeSvkGUzf11AYs,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
I'm Good (Blue),David Guetta,93,0.561,0.965,128.04,0.0343,175238,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,4uUG5RXrOk84mYEfFvj3cK,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Titanium (feat. Sia),David Guetta,74,0.604,0.788,126.06,0.103,245040,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,0lHAMNU8RGiIObScrsRgmP,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
On My Love,David Guetta,74,0.492,0.688,123.069,0.046,222911,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,0K6iKgHPPhAb4Acmg9aD77,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
One in a Million,David Guetta,81,0.454,0.931,137.945,0.0321,160529,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,3YfGTvsTAWGC2lgoDOikUz,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Baby Don't Hurt Me,David Guetta,88,0.602,0.91,127.944,0.0308,140017,"['Big Room', 'Dance Pop', 'EDM', 'Pop', 'Pop Dance']",87,1Cs0zKBU1kc0i8ypK3B9ai,3BKD1PwArikchz2Zrlp1qi,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
