Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Artist Genres,Artist Popularity,Artist uri,Song uri,Song Duration
On My Way,Alan Walker,72,0.522,0.697,169.775,0.103,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,3BomnHfqKZCdPJC9bkGBjE,180000
Alone,Alan Walker,78,0.673,0.914,97.021,0.0496,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,3LlmKSHR3Rs0Y3KHQLAYDk,180000
Darkside,Alan Walker,75,0.43,0.606,169.988,0.0431,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,6SRWhUJcD2YKahCwHavz3X,180000
Hero,Alan Walker,76,0.59,0.681,126.02,0.0305,['electro house'],78,7vk5e3vY1uw9plTHJAMwjN,1rBTBbtkJlSDk78gg8Dw9F,180000
Words (feat. Zara Larsson),Alesso,82,0.739,0.586,124.026,0.0472,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,1bgKMxPQU7JIZEhNsM1vFs,180000
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Alesso,78,0.664,0.708,103.07,0.0474,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,5Gu0PDLN4YJeW75PpBSg9p,180000
When I’m Gone (with Katy Perry),Alesso,77,0.685,0.886,125.034,0.034,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,5902W4uHWzhtOff1UK7the,180000
Under Control (feat. Hurts),Alesso,77,0.544,0.915,126.094,0.0841,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,4J7CKHCF3mdL4diUsmW8lq,180000
Heroes (we could be),Alesso,75,0.503,0.748,125.896,0.0619,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,3zU9rdflI65tK4dkkNSp77,180000
If I Lose Myself - Alesso vs OneRepublic,Alesso,64,0.523,0.782,125.998,0.041,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,1hZk9dktp4yRFTm0TrycuH,180000
Calling (Lose My Mind) - Radio Edit,Alesso,58,0.416,0.85,125.096,0.0455,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,6LNjIsgHNs4q75uPt4rYf6,180000
REMEDY,Alesso,67,0.601,0.775,119.964,0.0473,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,6jreFSOTUAViWjKyzOC4Kg,180000
Call Your Name,Alesso,66,0.526,0.888,127.906,0.0591,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,7FyqTJJ8bdFVpNMoMNQbXA,180000
Leave A Little Love (Mixed),Alesso,65,0.693,0.829,117.966,0.0489,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",71,4AVFqumd2ogHFlRbKIjp1t,4H3prpSM3TWw4UJtg6rHwD,180000
I Want U,Alison Wonderland,57,0.606,0.829,140.033,0.036,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,6wb61u8ayuanWSHZzle5od,180000
Fight or Flight,Alison Wonderland,56,0.577,0.955,156.026,0.0664,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,0biZ6lxXHy4eHweTbOD33W,180000
Anything,Alison Wonderland,55,0.768,0.908,120.042,0.0486,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,48fPdAwGVoSkGK8GSez9yx,180000
Picture,Alison Wonderland,53,0.36,0.574,132.097,0.0434,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,1sAyfWbmgrT7HganHgLSYQ,180000
Down The Line,Alison Wonderland,45,0.663,0.652,149.994,0.0598,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,0uJ9ERKbkX6IcTLTgbIZYC,180000
New Rules - Alison Wonderland Remix,Alison Wonderland,51,0.578,0.59,128.092,0.0431,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,5Fx2UrcQobzM1h2ihdhsmm,180000
Wake Up,Alison Wonderland,52,0.606,0.817,140.021,0.0448,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,1WWrLjKKuNeuKGRwSj36ti,180000
Fuck U Love U,Alison Wonderland,46,0.298,0.803,76.872,0.0462,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,2h1uvDHYv9Cll7DWOPtYa4,180000
Something Real,Alison Wonderland,51,0.519,0.61,119.919,0.0608,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,1Z0N9hxlzZRPAKI5Q33jsq,180000
Church,Alison Wonderland,50,0.551,0.681,94.052,0.0401,"['aussietronica', 'edm', 'electra', 'electronic trap', 'escape room', 'indietronica']",51,11gWrKZMBsGQWmobv3oNfW,6Apozxrk03AIyQwyswUjbt,180000
