Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Great Spirit,Armin van Buuren,67,0.592,0.911,103.517,0.0659,215773,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,3Nku6gLNqnwUuq8GLkqyhW,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
Love Is A Drug,Armin van Buuren,66,0.627,0.964,127.975,0.0569,200625,"['Dutch Trance', 'EDM', 'Pop Dance', 'Progressive House', 'Trance']",72,0SfsnGyD8FpIN4U4WCkBZ5,4Yyho5h1ABXsvFyuEvyoke,https://i.scdn.co/image/ab6761610000f1785328c468cef8019bc41b63a8
Zombie (feat. Valerie Broussard),Excision,67,0.302,0.817,157.084,0.0863,284643,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,5AZJbQwaYGHWCY53k7fO57,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
Feel Something (With I Prevail),Excision,64,0.428,0.877,75.518,0.0835,221000,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,5dAtKXyrQoQW054LZqJ5dP,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
Asteroid,Excision,58,0.576,0.981,149.723,0.606,243200,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,3twU0ngWzakD9k07Kb5eoV,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
Gold (Stupid Love),Excision,52,0.363,0.735,145.556,0.0428,295890,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,1dlJQt9NLH5iFCIeiVz5lX,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
Name Drop,Excision,57,0.319,0.983,75.373,0.38,228800,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,02yaX0Reb1fQYIQdri4Ow8,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
Don't Look Down (Hold On),Excision,56,0.507,0.785,90.241,0.0562,245333,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,65krG6c3veTz66mIdSU16f,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
Titans,Excision,54,0.665,0.951,128.188,0.222,210000,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,0StQdn3iO5vdHFH8ZR6Cuo,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
Reasons,Excision,54,0.454,0.903,150.032,0.102,240000,"['Brostep', 'Canadian Electronic', 'Filthstep']",59,5FKchcZpQOkqFvXBj1aCvb,5cqOmjN3auHvZlhbebzKQx,https://i.scdn.co/image/ab6761610000f17811d1a065d36d1577fbe82ffa
