Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Song Duration,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Paint The Town Red,Doja Cat,84,0.864,0.556,99.974,0.194,230480,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,56y1jOTK0XSvJzVv9vHQBK,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
n.h.i.e.,Doja Cat,84,0.818,0.512,131.967,0.0926,143718,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,6x9pCndnXEoea0CMcfjs9W,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
Streets,Doja Cat,83,0.749,0.463,90.035,0.0842,226986,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,60ynsPSSKe6O3sfwRnIBRf,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
Woman,Doja Cat,85,0.824,0.764,107.998,0.0854,172626,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,6Uj1ctrBOjOas8xZXGqKk4,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
You Right,Doja Cat,80,0.828,0.621,128.986,0.0565,186173,"['Dance Pop', 'Pop']",87.0,5cj0lLjcoR7YOSnhnX0Po5,0k4d5YPDr1r7FX77VdqWez,https://i.scdn.co/image/ab6761610000f1787f6d6cac38d494e87692af99
Supersoaker,Eartheater,55,0.502,0.825,177.996,0.0367,184505,"['Art Pop', 'Electra', 'Escape Room', 'Experimental Pop', 'Spectra']",51.0,18ca9d5EU5R1AhVKPR1cm0,6szXMlKnHwiPbLfrqp44Jk,https://i.scdn.co/image/ab6761610000f178fa386a8a2e66375c11e5d3eb
Scripture,Eartheater,45,0.514,0.615,140.039,0.0326,251217,"['Art Pop', 'Electra', 'Escape Room', 'Experimental Pop', 'Spectra']",51.0,18ca9d5EU5R1AhVKPR1cm0,1GG23RRVNQiPbzEY8cBXNG,https://i.scdn.co/image/ab6761610000f178fa386a8a2e66375c11e5d3eb
Crushing,Eartheater,53,0.533,0.813,76.001,0.0595,271733,"['Art Pop', 'Electra', 'Escape Room', 'Experimental Pop', 'Spectra']",51.0,18ca9d5EU5R1AhVKPR1cm0,6BPwBHxjmavFAyMrLQgQYd,https://i.scdn.co/image/ab6761610000f178fa386a8a2e66375c11e5d3eb
High Tide,Eartheater,46,0.5,0.662,153.022,0.0555,179701,"['Art Pop', 'Electra', 'Escape Room', 'Experimental Pop', 'Spectra']",51.0,18ca9d5EU5R1AhVKPR1cm0,39oLvVAYrXwMhZ8ylVsTCy,https://i.scdn.co/image/ab6761610000f178fa386a8a2e66375c11e5d3eb
Spill The Milk,Eartheater,48,0.586,0.419,123.03,0.0503,219770,"['Art Pop', 'Electra', 'Escape Room', 'Experimental Pop', 'Spectra']",51.0,18ca9d5EU5R1AhVKPR1cm0,5XU0KlN3w7UohUio4ycwNQ,https://i.scdn.co/image/ab6761610000f178fa386a8a2e66375c11e5d3eb
