Artist,Artist Genres,Artist Popularity,Artist uri,Artist Image url
Factory 93,[],2,655zZ3gkYSjl28z5CU4Iz1,https://i.scdn.co/image/ab6761610000f178ef11fa200c69e73d6efc8bc3
FISHER,"['Australian House', 'House']",69,1VJ0briNOlXRtJUAzoUJdt,https://i.scdn.co/image/ab6761610000f178cd3fb82b1270a175ed000118
Franky Rizardo,"['Circuit', 'Dutch Tech House', 'House']",47,2UgphhGSlC9QWgaZWUOCkl,https://i.scdn.co/image/ab6761610000f178bff56f9e3368da1926023e5a
Franky Wah,"['Melodic House', 'UK Dance', 'UK House']",50,3IG3Ub4ra8AuSxCFDVkVco,https://i.scdn.co/image/ab6761610000f178f86a823b09ee1c40138b83d6
G.E.M.,['Mandopop'],63,7aRC4L63dBn3CiLDuWaLSI,https://i.scdn.co/image/ab6761610000f17822b67d7e8a5482991c7da510
Gorgon City,"['Future Garage', 'House', 'Pop Dance', 'UK Dance']",60,4VNQWV2y1E97Eqo2D5UTjx,https://i.scdn.co/image/ab6761610000f17808eedfcb1aec434fe60a46ec
GorillaT,[],32,3zcOegUrWqti1S0lu4juJz,https://i.scdn.co/image/ab6761610000f17858fc90a83d13e2ac2de51089
Gryffin,"['EDM', 'Pop Dance']",65,2ZRQcIgzPCVaT9XKhXZIzh,https://i.scdn.co/image/ab6761610000f178bfbd11b7cb9185f08b69da7c
HUGEL,['Deep House'],66,5PlfkPxwCpRRWQJBxCa0By,https://i.scdn.co/image/ab6761610000f17864b398cf67e4a0154ef9a5ac
Hairitage,['Dubstep'],45,6Cqy862jSCV7qdNrCDqvNK,https://i.scdn.co/image/ab6761610000f178bc57b287c6b4e2fcebee94a3
HoneyLuv,['Tech House'],41,1sl3gVNz3Nxd4poA8f76sl,https://i.scdn.co/image/ab6761610000f17870694d7742d4c1b844983a71
Insomniac Records,[],3,51xR0dvqUomzb5eY6dvT4M,https://i.scdn.co/image/ab6761610000f178d712330f409e0fdeae3efd76
James Hype,"['Deep Groove House', 'House', 'Pop Dance', 'UK Dance']",67,43BxCL6t4c73BQnIJtry5v,https://i.scdn.co/image/ab6761610000f1783735de17f641144240511000
Jamie Jones,"['Deep Disco House', 'Deep House', 'House', 'Minimal Techno', 'UK Tech House']",54,4admDxmnri5Zco0xYrJ0ji,https://i.scdn.co/image/ab6761610000f1785c0685effe8297fb4943a82f
Jantsen,"['Brostep', 'Dubstep', 'Filthstep', 'Glitch Hop']",37,6rhTnHtyVcRrtuzS1wnLZg,https://i.scdn.co/image/ab6761610000f17857c88cd5b9329109c1653d36
Jorza,['Progressive Trance'],26,2QQUtKcJQ0bkubS0Titmi4,https://i.scdn.co/image/ab6761610000f17801af42513957b46c1d852978
Joshwa,"['Tech House', 'UK Tech House']",49,1PzAgFVk9v8cxn9flrqrv5,https://i.scdn.co/image/ab6761610000f1780b78c0a4b126acb80cd7d875
Joyryde,[],0,6CYLttzw6Qa9MyCZ5OiItf,https://i.scdn.co/image/ab67616d00004851eaaa94ef93b8745601ed6d4a
Kayzo,"['Brostep', 'Speed House']",51,72iCiKwu6nu6Qq9emIwzYv,https://i.scdn.co/image/ab6761610000f17812f5d4f2f5f78f37684e7438
KREAM,['Pop Dance'],56,0DdDnziut7wOo6cAYWVZC5,https://i.scdn.co/image/ab6761610000f1784518a931bc31c3339bf48e47
Kaskade,"['EDM', 'Electro House', 'Pop Dance', 'Progressive Electro House', 'Progressive House', 'Vocal House']",64,6TQj5BFPooTa08A7pk8AQ1,https://i.scdn.co/image/ab6761610000f178c96f32c30b4c236b5b9c40fa
Korolova,[],51,0I6oCyQQ1Q50q97y9B9gAx,https://i.scdn.co/image/ab6761610000f178157b8b6032c558582aa0e640
LEVEL UP,[],42,1ZpDxqXS6HAvoZyCzQfKRb,https://i.scdn.co/image/ab6761610000f1786dc2b46539097968b388d207
LF SYSTEM,['UK Dance'],59,0HxX6imltnNXJyQhu4nsiO,https://i.scdn.co/image/ab6761610000f1782b623d7f34d92ada3644237f
Liquid Stranger,"['Brostep', 'Downtempo', 'Drill And Bass', 'Filthstep', 'Glitch Hop']",43,4YJsSCuag8W1TFTgSeEc2k,https://i.scdn.co/image/ab6761610000f17838cc7ff031a34827995858c2
Loco Dice,"['German Techno', 'Minimal Techno', 'Techno']",33,4rbw4Z9Hjn6n9x5oYzZe7P,https://i.scdn.co/image/ab6761610000f1783ef261b960f7ee1095cefd9b
Loud Luxury,"['EDM', 'Pop Dance']",67,6t1gpxYbY8OlLA7D2RiikQ,https://i.scdn.co/image/ab6761610000f178cee1a8558c7deb19588d9dd9
Luccio,[],18,01tTf0JDsnCrwcDo7AyXiR,https://i.scdn.co/image/ab6761610000f1783aeb1efbc2723825e9453e75
MC Dino,[],3,5hPdACTROoi69yZpLpSVbs,https://i.scdn.co/image/ab67616d000048511ed8e3f195606f620d1e4118
MEDUZA,"['EDM', 'Pop Dance', 'Pop House', 'UK Dance']",74,0xRXCcSX89eobfrshSVdyu,https://i.scdn.co/image/ab6761610000f17815c5994b69ff1f930756bd1f
Maddix,['Big Room'],64,0RMeG9M8QFzss9bAbq99KA,https://i.scdn.co/image/ab6761610000f178101b0f25c3cd4aeb320e65ce
Majestica,"['Christian Power Metal', 'Melodic Metal', 'Power Metal', 'Swedish Power Metal', 'Symphonic Metal']",40,52lkxAYfC9ypaPJ2EB22ki,https://i.scdn.co/image/ab6761610000f17855c7e175d903c38ffe02de29
Malaa,"['Bass House', 'Brostep', 'EDM', 'Electro House', 'Electronic Trap', 'House']",47,7w1eTNePApzDk8XtgykCPS,https://i.scdn.co/image/ab6761610000f178f24204710f5167ec69eb0417
Post Malone,"['Dfw Rap', 'Melodic Rap', 'Pop', 'Rap']",87,246dkjvS1zLTtiykXe5h60,https://i.scdn.co/image/ab6761610000f1786be070445b03e0b63147c2c1
Marco Carola,"['Italian Techno', 'Minimal Techno', 'Techno']",32,2p8O7NCyfWf1sIZamrU9N1,https://i.scdn.co/image/ab6761610000f17826e409c252b0f57d3c64b38b
Marlon Craft,['NYC Rap'],55,7MigDh04CCntQbsBvugEmb,https://i.scdn.co/image/ab6761610000f1783a7215b26592dab23e90d364
Matt Sassari,"['French Tech House', 'French Techno', 'Tech House']",64,21dVknSLCsK37cWozWDZZS,https://i.scdn.co/image/ab6761610000f1785caba46565a7cf5203134def
Mau P,['Tech House'],62,0w1sbtZVQoK6GzV4A4OkCv,https://i.scdn.co/image/ab6761610000f178e4b29494b1cacf5ac9d745e9
Miguelle & Tons,[],29,1U7nDI6jydkqHWaOtUdlkx,https://i.scdn.co/image/ab6761610000f17827bb6984d98106f15ad79bef
Miss Monique,['UKrainian Electronic'],52,29TpNOsTNYbLb6Xa10H0PR,https://i.scdn.co/image/ab6761610000f178b8028862eeb5ccaf303d71ce
Modapit,[],28,6KodO7gtDTYK7uhiu1z1Zb,https://i.scdn.co/image/ab6761610000f17828d52dc529842b9fcd90f981
Nia Archives,['Modern Jungle'],55,7BMR0fwtEvzGtK4rNGdoiQ,https://i.scdn.co/image/ab6761610000f1784005cf9d019c354bc6261380
